time_delta,soc_delta,soh,average_altitude,ground_speed,activity,average_power,id,unique_data_identifier,temperature,visibility,wind_speed
7.88,3.0,83,242.44,38.3,takeoff,57.27,5367,0,39.2,9.0,11
2.44,10.5,83,494.18,85.32,climb,48.63,5367,1,39.2,9.0,11
0.0,0.0,83,4.75,101.35,cruise,49.78,5367,2,39.2,9.0,11
0.0,0.0,83,4.76,100.74,climb,49.72,5367,3,39.2,9.0,11
0.0,0.0,83,4.95,100.56,cruise,49.64,5367,4,39.2,9.0,11
0.0,0.0,83,4.99,100.38,climb,49.81,5367,5,39.2,9.0,11
4.3,12.0,83,168.34,104.38,cruise,30.62,5367,6,39.2,9.0,11
0.0,0.0,83,1.71,90.39,slow flight,1.86,5367,7,39.2,9.0,11
0.38,0.38,83,-33.54,71.52,power off stall,0.18,5367,8,39.2,9.0,11
0.0,0.0,83,-6.55,61.5,slow flight,12.25,5367,9,39.2,9.0,11
0.02,0.0,83,-14.47,60.7,cruise,32.61,5367,10,39.2,9.0,11
0.08,0.0,83,-8.85,67.19,climb,42.76,5367,11,39.2,9.0,11
0.68,1.5,83,26.47,74.65,cruise,23.19,5367,12,39.2,9.0,11
0.62,0.58,83,-21.95,45.62,slow flight,12.36,5367,13,39.2,9.0,11
0.06,0.5,83,-4.35,40.9,climb,33.91,5367,14,39.2,9.0,11
0.44,1.0,83,26.93,51.59,cruise,26.98,5367,15,39.2,9.0,11
0.36,0.0,83,0.7,64.06,slow flight,10.45,5367,16,39.2,9.0,11
0.06,0.5,83,-5.52,63.47,power off stall,1.6,5367,17,39.2,9.0,11
0.3,0.5,83,-18.62,57.46,slow flight,11.2,5367,18,39.2,9.0,11
0.02,0.0,83,-16.28,52.4,steep turns,23.17,5367,19,39.2,9.0,11
0.62,1.0,83,-6.06,57.44,cruise,20.93,5367,20,39.2,9.0,11
0.02,0.0,83,2.2,43.54,steep turns,20.0,5367,21,39.2,9.0,11
0.5,1.0,83,-11.64,52.09,cruise,19.03,5367,22,39.2,9.0,11
0.0,0.0,83,-0.06,54.16,slow flight,7.03,5367,23,39.2,9.0,11
10.3,18.0,83,-432.06,62.73,cruise,18.73,5367,24,39.2,9.0,11
0.0,0.0,83,-0.69,68.84,climb,24.45,5367,25,39.2,9.0,11
0.0,0.0,83,-1.0,69.55,cruise,10.11,5367,26,39.2,9.0,11
0.18,0.0,83,-13.21,66.19,descent,0.63,5367,27,39.2,9.0,11
0.78,0.0,83,-87.16,57.28,cruise,4.6,5367,28,39.2,9.0,11
0.18,0.83,83,-15.16,52.91,landing,0.69,5367,29,39.2,9.0,11
0.38,0.0,83,-34.2,51.56,cruise,9.77,5367,30,39.2,9.0,11
1.34,0.0,83,-121.97,50.69,landing,2.83,5367,31,39.2,9.0,11
2.38,13.0,83,-0.95,0.04,takeoff,56.84,5367,32,42.8,9.0,8
17.06,4.0,84,178.61,4.38,pre-flight,1.44,5362,33,50.0,9.0,14
0.32,0.38,84,32.07,27.78,takeoff,63.24,5362,34,50.0,9.0,14
3.36,13.46,84,651.75,55.56,climb,46.57,5362,35,50.0,9.0,14
3.1,7.0,84,10.63,55.12,cruise,26.92,5362,36,50.0,9.0,14
0.46,1.0,84,-35.69,54.97,descent,20.12,5362,37,50.0,9.0,14
1.0,2.5,84,-26.23,56.72,HASEL,24.54,5362,38,50.0,9.0,14
0.94,2.0,84,-81.1,44.99,steep turn,24.9,5362,39,50.0,9.0,14
0.0,0.0,84,0.0,60.1,cruise,26.92,5362,40,50.0,9.0,14
0.92,1.0,84,-33.9,49.87,power off stall,12.4,5362,41,50.0,9.0,14
0.0,0.0,84,0.0,39.9,climb,31.17,5362,42,50.0,9.0,14
0.76,2.0,84,13.28,77.84,slow flight,28.52,5362,43,50.0,9.0,14
0.0,0.0,84,0.0,120.6,cruise,23.0,5362,44,50.0,9.0,14
0.62,1.0,84,-53.67,124.45,descent,21.72,5362,45,50.0,9.0,14
2.32,5.0,84,1.21,112.37,cruise,22.33,5362,46,50.0,9.0,14
1.28,0.0,84,-200.48,79.59,descent,0.02,5362,47,50.0,9.0,14
1.56,0.5,84,-279.99,48.29,landing,0.27,5362,48,50.0,9.0,14
0.36,0.5,84,66.42,50.6,takeoff,55.76,5362,49,50.0,9.0,14
1.36,6.0,84,239.45,61.2,climb,46.62,5362,50,50.0,9.0,14
1.08,2.62,84,-2.64,96.41,cruise,20.23,5362,51,50.0,9.0,14
1.84,1.0,84,-297.03,63.18,landing,0.67,5362,52,50.0,9.0,14
6.22,1.0,84,-8.31,11.32,post-flight,1.67,5362,53,50.0,9.0,14
17.52,5.0,83,119.59,43.9,takeoff,57.19,5205,54,57.2,9.0,5
0.12,0.88,83,16.39,67.57,climb,49.27,5205,55,57.2,9.0,5
0.04,0.0,83,7.42,71.94,takeoff,50.56,5205,56,57.2,9.0,5
3.12,12.67,83,625.77,76.8,climb,47.4,5205,57,57.2,9.0,5
0.0,0.0,83,3.87,73.14,cruise,48.71,5205,58,57.2,9.0,5
0.0,0.0,83,3.79,73.39,climb,49.0,5205,59,57.2,9.0,5
1.26,5.0,83,252.57,73.81,cruise,46.73,5205,60,57.2,9.0,5
0.3,1.0,83,33.77,74.08,steep turns,45.09,5205,61,57.2,9.0,5
0.6,2.0,83,-31.01,82.24,cruise,23.73,5205,62,57.2,9.0,5
0.14,0.0,83,-9.18,78.14,steep turns,23.0,5205,63,57.2,9.0,5
0.14,0.71,83,-4.72,77.98,cruise,23.35,5205,64,57.2,9.0,5
0.1,0.0,83,9.38,77.21,steep turns,23.03,5205,65,57.2,9.0,5
0.4,1.0,83,5.87,81.76,slow flight,21.02,5205,66,57.2,9.0,5
0.5,1.0,83,12.83,73.25,steep turns,26.54,5205,67,57.2,9.0,5
0.38,1.0,83,-11.25,71.58,slow flight,19.31,5205,68,57.2,9.0,5
1.46,3.0,83,21.86,58.34,steep turns,28.37,5205,69,57.2,9.0,5
0.08,0.5,83,-3.86,66.99,slow flight,29.42,5205,70,57.2,9.0,5
0.68,1.3,83,-1.91,66.51,steep turns,29.74,5205,71,57.2,9.0,5
0.06,0.12,83,7.14,74.27,slow flight,10.35,5205,72,57.2,9.0,5
0.52,0.0,83,-43.3,53.07,power off stall,0.2,5205,73,57.2,9.0,5
0.02,0.0,83,-15.63,37.91,slow flight,22.09,5205,74,57.2,9.0,5
0.12,0.0,83,-6.46,43.57,steep turns,28.61,5205,75,57.2,9.0,5
0.04,0.0,83,8.84,47.56,slow flight,22.36,5205,76,57.2,9.0,5
0.04,0.5,83,1.68,48.6,steep turns,26.97,5205,77,57.2,9.0,5
0.2,0.5,83,-25.17,50.66,slow flight,12.9,5205,78,57.2,9.0,5
0.18,0.0,83,5.27,49.25,steep turns,21.78,5205,79,57.2,9.0,5
0.1,0.0,83,-1.63,45.01,slow flight,5.46,5205,80,57.2,9.0,5
0.36,0.5,83,-35.93,41.44,power off stall,0.48,5205,81,57.2,9.0,5
0.2,0.5,83,-25.8,42.48,slow flight,17.85,5205,82,57.2,9.0,5
0.08,0.0,83,1.47,48.86,steep turns,24.09,5205,83,57.2,9.0,5
0.24,0.0,83,-27.22,52.73,slow flight,5.51,5205,84,57.2,9.0,5
0.38,0.0,83,-23.25,42.97,power off stall,0.28,5205,85,57.2,9.0,5
1.06,1.5,83,-12.05,40.93,slow flight,14.89,5205,86,57.2,9.0,5
0.2,0.5,83,-0.92,41.26,steep turns,25.58,5205,87,57.2,9.0,5
0.12,0.0,83,-16.96,47.26,slow flight,10.3,5205,88,57.2,9.0,5
0.74,1.5,83,28.45,56.79,steep turns,23.74,5205,89,57.2,9.0,5
0.78,0.86,83,-37.52,67.35,slow flight,9.9,5205,90,57.2,9.0,5
0.04,0.46,83,-2.2,68.67,steep turns,16.6,5205,91,57.2,9.0,5
0.66,0.5,83,-22.42,81.63,slow flight,14.49,5205,92,57.2,9.0,5
1.3,0.5,83,-217.32,95.16,descent,1.83,5205,93,57.2,9.0,5
3.04,5.0,83,53.22,83.83,cruise,20.42,5205,94,57.2,9.0,5
2.08,1.0,83,-331.7,92.83,descent,0.92,5205,95,57.2,9.0,5
0.78,1.0,83,33.77,80.64,cruise,23.25,5205,96,57.2,9.0,5
0.04,0.0,83,4.02,62.94,climb,24.97,5205,97,57.2,9.0,5
0.24,1.0,83,0.58,65.19,cruise,21.27,5205,98,57.2,9.0,5
0.7,0.5,83,-80.56,65.53,descent,3.42,5205,99,57.2,9.0,5
3.02,1.5,83,-267.18,51.74,landing,3.55,5205,100,59.0,9.0,10
10.7,3.5,82,93.27,46.02,takeoff,59.13,5127,101,44.6,9.0,8
0.94,3.5,82,206.46,70.85,climb,46.82,5127,102,44.6,9.0,8
1.46,3.0,82,-186.63,82.59,cruise,17.46,5127,103,44.6,9.0,8
1.52,0.5,82,-144.86,50.32,landing,1.9,5127,104,44.6,9.0,8
0.64,2.25,82,146.14,58.79,takeoff,59.75,5127,105,44.6,9.0,8
1.1,4.5,82,185.85,81.88,climb,43.56,5127,106,44.6,9.0,8
1.42,3.5,82,-14.98,91.25,cruise,23.37,5127,107,44.6,9.0,8
1.88,0.5,82,-276.24,55.06,landing,1.02,5127,108,44.6,9.0,8
0.04,0.0,82,-4.6,54.91,takeoff,18.78,5127,109,44.6,9.0,8
0.66,0.5,82,-35.11,51.81,landing,4.24,5127,110,44.6,9.0,8
0.58,1.79,82,124.65,60.18,takeoff,55.3,5127,111,44.6,9.0,8
1.26,5.25,82,214.79,76.21,climb,42.48,5127,112,44.6,9.0,8
1.24,3.0,82,-29.99,90.37,cruise,25.4,5127,113,44.6,9.0,8
2.42,1.0,82,-307.7,52.95,landing,1.51,5127,114,44.6,9.0,8
0.66,2.0,82,125.34,57.25,takeoff,52.93,5127,115,44.6,9.0,8
0.0,0.0,82,2.98,61.55,climb,48.46,5127,116,44.6,9.0,8
0.0,0.0,82,2.82,61.59,takeoff,48.92,5127,117,44.6,9.0,8
0.96,4.5,82,174.65,79.9,climb,47.66,5127,118,44.6,9.0,8
1.16,3.0,82,-0.1,87.72,cruise,25.43,5127,119,44.6,9.0,8
1.96,1.0,82,-272.82,52.24,landing,1.2,5127,120,44.6,9.0,8
0.06,0.0,82,-6.75,53.69,takeoff,17.58,5127,121,44.6,9.0,8
0.5,0.0,82,-24.56,45.71,landing,1.28,5127,122,44.6,9.0,8
0.72,3.0,82,146.77,60.43,takeoff,57.73,5127,123,44.6,9.0,8
0.86,4.0,82,165.79,83.46,climb,52.96,5127,124,44.6,9.0,8
1.12,3.5,82,-12.78,92.67,cruise,25.26,5127,125,44.6,9.0,8
0.24,0.5,82,0.18,81.25,descent,0.45,5127,126,44.6,9.0,8
2.28,0.0,82,-299.4,46.13,landing,0.49,5127,127,44.6,9.0,9
8.3,4.0,80,119.68,47.8,takeoff,60.36,5117,128,48.2,9.0,2
